RA,DEC,zCMB,x1,e_x1,c,e_c,mB,e_mB
231.93306,10.553933,0.03,-1.6182,0.09026360000000001,-0.077657,0.0287832,16.25534,0.0418299
75.427353,9.703408,0.02597,-0.6859430000000001,0.13649,0.00693591,0.0298817,16.110429999999997,0.0490286
8.360827,31.518192,0.0335,1.41908,0.14872,-0.028500599999999997,0.0330899,16.306620000000002,0.05364540000000001
251.11160299999997,47.280464,0.027469999999999998,-2.3237400000000004,0.56221,0.0956707,0.0314263,16.5961,0.0448311
323.893524,27.806124,0.026489999999999996,0.10545,0.0646172,0.15481,0.0299221,16.28787,0.0507415
154.467407,69.968956,0.0337,-0.376463,0.17682,0.02125,0.0302358,16.38982,0.0442569
258.435699,7.3919440000000005,0.03153,0.20471,0.11405,-0.0452161,0.03295630000000001,16.098489999999998,0.054783000000000005
357.102264,8.524042,0.03117,1.03633,0.15536,0.08765650000000001,0.0321814,16.36934,0.0495888
250.609436,47.824215,0.03067,-1.51053,0.34496,-0.05789580000000001,0.029291,16.41189,0.0416977
78.134918,9.597727,0.029810000000000003,0.38394,0.14190999999999998,0.023729300000000002,0.0341049,16.12357,0.06519730000000001
41.481761999999996,1.518583,0.03659,0.83355,0.075775,0.00979405,0.0301892,16.46716,0.04227
306.956024,2.021933,0.03213,1.0926200000000001,0.13684000000000002,0.05255409999999999,0.0351599,16.36749,0.0569068
345.093079,25.132235,0.031580000000000004,1.07326,0.17387,0.0409329,0.0319751,16.32495,0.0502658
213.910583,30.143394,0.03102,0.42781,0.10041,-0.015290399999999999,0.03351830000000001,16.516289999999998,0.05229119999999999
109.281952,72.60749100000001,0.028110000000000003,-2.22559,0.10322,0.10380999999999999,0.0296492,16.68228,0.0429796
92.92034100000001,49.809795,0.02891,-2.6447700000000003,0.13655,0.021309400000000003,0.04366969999999999,16.26896,0.0850069
108.479378,3.4487419999999998,0.02455,-1.98078,0.16926,-0.0280873,0.0376046,16.03698,0.08326010000000002
121.005684,29.044811,0.02642,-1.13263,0.22518000000000002,0.16122,0.0407806,16.67149,0.0793112
321.17681899999997,19.813929,0.039080000000000004,0.48722,0.43191,-0.0831604,0.029295799999999997,16.27717,0.0429156
137.49708600000002,46.082912,0.032330000000000005,-1.08144,0.0575557,-0.00713975,0.030208699999999998,16.559520000000003,0.0427658
202.83496100000002,23.223795000000003,0.03526,-1.90945,0.18875999999999998,-0.0849423,0.04166,16.45859,0.0836191
109.88170600000001,21.196466,0.03279,0.86234,0.11215,0.14908,0.03712940000000001,16.68141,0.057411699999999996
182.871674,67.583488,0.034730000000000004,-0.572475,0.0963517,-0.0670461,0.033712599999999995,16.50076,0.055821
142.37825,40.216460999999995,0.032,-1.8192700000000002,0.10784,-0.0224498,0.0295814,16.59364,0.0417202
179.585983,75.305992,0.029019999999999997,-2.3022299999999998,0.0998836,-0.0796313,0.0291795,16.32845,0.044431
